"V1","V2"
154,15
33,110
97,50
73,119
58,52
28,145
100,28
82,53
88,52
161,5
108,27
177,15
104,42
69,35
56,104
156,38
7,165
45,37
87,111
77,123
35,82
29,58
74,78
127,40
97,70
56,84
50,122
16,77
65,19
26,128
75,98
142,29
131,17
18,105
89,87
16,154
42,95
82,17
122,56
51,69
43,52
23,90
48,24
119,19
88,38
74,63
109,60
57,40
40,134
18,137
27,43
71,49
105,79
37,69
105,12
64,71
12,96
76,27
125,29
64,113
94,18
17,50
116,69
65,91
25,70
15,117
26,156
37,122
37,28
117,38
87,99
53,15
139,45
85,72
160,24
45,111
12,61
143,12
18,165
56,131
10,141
81,83
134,34
151,29
13,174
62,28
42,145
26,99
147,39
10,109
115,50
92,62
64,122
53,95
70,11
78,42
100,86
54,113
66,58
27,119
13,128
48,86
100,59
69,105
96,79
122,10
33,93
43,62
11,70
57,74
129,50
37,41
61,10
90,28
64,82
20,62
146,20
168,15
106,69
125,64
24,80
47,138
50,44
37,104
34,153
81,34
79,105
81,91
21,147
48,76
47,129
9,152
135,24
98,37
31,50
53,31
106,51
74,18
94,9
11,82
58,64
66,43
112,10
83,61
158,31
91,45
9,54
32,138
39,115
117,26
87,12
22,112
63,100
74,111
43,17
78,10
20,40
137,54
51,57
59,22
28,35
46,101
114,76
75,56
131,10
31,74
40,88
58,118
161,16
37,59
101,20
131,58
72,90
12,160
26,166
149,8
170,21
72,71
110,18
15,90
98,93
181,9
122,48
43,120
22,54
133,43
84,46
108,34
53,8
33,117
58,91
38,21
60,58
13,147
26,107
168,8
44,81
11,48
80,112
67,65
46,30
7,171
33,128
82,24
127,23
9,133
20,121
10,182
111,43
100,8
8,115
88,67
115,57
35,146
63,48
31,86
9,103
98,44
20,172
140,36
38,76
123,35
44,44
87,78
153,22
68,25
140,20
8,76
47,11
32,65
18,72
125,15
63,128
19,85
24,135
138,7
30,28
83,7
50,50
19,99
60,16
145,46
39,34
88,18
157,9
50,106
22,160
174,9
53,136
79,69
100,65
23,34
69,96
37,47
26,64
16,56
87,105
43,68
78,48
166,27
25,49
11,122
75,36
117,7
94,33
111,82
150,44
80,75
42,25
46,91
95,56
50,81
33,99
43,73
118,32
72,83
56,46
61,35
137,40
92,93
29,133
43,106
55,124
94,85
14,43
46,116
8,177
30,124
95,98
7,127
6,68
44,125
103,36
137,15
119,64
32,162
49,62
38,128
77,87
16,142
63,106
44,57
93,74
59,110
163,10
147,25
53,23
68,76
8,90
148,34
111,65
16,110
83,29
28,94
83,41
40,150
116,44
38,139
30,81
21,127
13,167
101,75
22,95
51,37
105,85
7,60
73,41
90,23
31,104
25,85
58,98
122,70
52,142
60,80
66,7
40,110
22,45
71,6
34,36
129,33
27,114
82,99
134,48
101,15
70,30
22,141
117,12
57,27
17,130
51,117
63,54
126,46
70,122
111,38
65,31
51,101
7,158
32,42
57,6
69,16
16,68
23,103
69,54
137,29
61,87
28,151
52,90
113,32
79,64
34,55
165,19
88,7
7,95
39,99
52,129
61,44
108,75
38,53
27,140
186,7
86,94
36,96
50,18
91,102
98,24
93,39
105,62
14,135
75,103
17,94
48,96
37,64
70,115
140,50
149,14
90,57
45,133
93,67
125,7
139,11
111,53
18,158
54,60
54,108
105,17
6,80
62,75
16,124
112,23
62,94
88,33
53,77
93,89
58,136
36,157
35,133
73,23
92,50
67,86
86,22
91,14
63,62
17,149
49,145
64,39
24,59
121,43
13,104
6,122
25,75
13,179
127,55
102,55
50,111
66,118
51,27
157,19
103,91
6,188
130,6
152,40
131,38
14,85
118,73
114,61
78,15
20,152
133,30
43,140
78,31
77,117
38,143
106,46
10,86
29,39
60,124
19,80
6,51
131,26
95,27
56,35
107,22
129,62
52,86
87,62
110,6
104,6
53,53
119,52
59,69
44,48
120,23
83,87
163,31
71,67
78,21
103,31
132,53
22,66
65,13
145,8
140,25
170,11
64,24
27,161
103,25
90,83
66,51
173,16
98,32
47,66
76,93
62,66
8,145
31,156
107,39
79,59
111,48
62,117
57,12
