"V1","V2"
58,58
25,133
31,34
140,36
37,28
59,110
107,93
89,76
125,63
27,52
90,64
53,7
21,145
52,96
22,114
50,37
65,7
87,92
47,42
25,137
79,32
31,93
112,33
50,75
103,50
40,120
38,63
19,70
128,21
71,71
76,50
97,20
64,24
68,91
107,71
130,46
43,135
73,108
18,161
40,104
18,95
91,41
159,14
57,126
143,19
116,47
61,41
112,14
77,81
35,79
35,147
49,113
48,17
80,20
100,83
129,35
66,118
100,32
113,59
42,88
13,56
14,124
78,62
59,84
20,84
160,26
60,73
171,12
38,51
12,171
150,32
22,42
90,30
25,104
11,111
28,62
77,96
88,55
12,78
123,12
31,125
65,51
96,10
69,35
48,57
54,26
62,100
72,17
122,55
29,156
11,140
117,24
31,43
107,24
102,62
78,11
11,154
135,12
116,70
147,11
101,41
137,26
66,60
59,17
28,73
41,36
80,73
48,128
45,25
11,88
11,65
144,44
100,75
20,59
84,47
137,51
88,101
15,132
82,107
34,137
23,125
179,10
130,56
20,153
153,21
35,111
29,85
95,91
166,19
16,103
48,84
48,67
70,100
83,39
15,48
95,48
48,140
110,40
28,146
120,35
42,147
45,99
89,15
75,25
53,50
9,179
68,82
104,13
41,70
63,32
45,50
96,57
146,26
38,94
80,89
117,9
49,121
9,99
85,83
53,89
57,135
112,79
20,77
11,163
88,8
32,105
97,69
155,36
75,115
21,169
27,118
39,128
55,33
93,81
124,47
64,125
38,154
24,35
110,8
71,44
155,9
52,104
42,111
43,78
149,39
66,106
72,8
27,163
59,94
137,42
35,57
124,27
84,26
39,43
106,86
28,110
41,18
26,97
56,119
7,51
54,43
63,66
95,36
134,20
17,118
84,60
9,134
109,52
129,8
119,62
9,120
32,67
89,22
55,67
119,17
18,54
59,51
65,71
41,141
47,31
19,138
104,19
124,40
86,69
66,15
8,72
50,135
131,28
76,102
167,25
107,30
34,99
27,79
164,8
71,65
12,94
8,127
56,78
88,36
59,11
36,74
57,102
31,27
34,117
128,15
42,56
35,85
45,106
94,98
15,144
139,7
152,15
74,39
24,69
81,53
122,68
17,89
73,86
106,78
84,13
69,113
62,131
9,149
7,158
25,89
52,13
16,63
101,26
175,17
8,105
72,60
7,57
117,40
17,174
90,86
58,46
111,46
161,32
68,29
45,62
111,67
18,109
108,58
72,77
69,22
71,52
17,41
7,185
132,40
33,132
112,22
82,65
73,31
6,110
106,66
83,7
101,55
69,124
116,75
21,49
17,149
8,144
46,11
73,93
53,130
35,38
143,31
53,110
82,101
172,7
44,124
147,6
59,27
153,26
106,35
26,46
105,45
67,96
38,133
65,45
159,20
32,53
76,67
76,56
148,20
102,91
82,95
37,23
46,93
8,83
118,30
33,152
185,8
89,50
99,15
93,73
118,52
135,35
62,115
63,79
7,94
13,70
94,27
7,173
15,83
86,105
6,66
96,42
32,160
96,62
6,164
17,166
164,13
85,31
44,116
105,7
54,19
89,45
81,112
24,149
82,79
73,120
23,159
98,95
130,61
138,16
57,38
37,33
7,77
136,59
32,88
79,42
146,48
126,51
27,31
29,57
62,89
125,32
146,35
109,19
112,28
128,66
51,61
140,47
64,56
102,70
43,83
7,115
28,38
17,128
123,21
55,72
142,24
6,139
6,88
12,116
85,19
21,102
20,65
54,83
133,50
97,52
31,140
48,89
93,6
15,156
118,57
12,44
63,111
171,23
123,7
58,6
68,11
53,124
52,30
16,113
100,7
97,80
39,80
52,117
150,44
42,74
53,57
66,40
23,55
53,141
58,22
137,31
36,124
34,47
92,53
45,143
120,43
79,27
45,20
15,178
16,74
55,99
60,121
23,93
165,29
94,16
50,47
29,130
33,22
20,38
110,62
74,13
121,73
111,73
30,100
21,130
72,104
13,182
24,82
156,30
99,46
141,41
78,16
59,63
25,142
95,85
14,99
11,158
92,11
85,74
70,117
106,41
140,54
69,56
66,87
51,22
81,69
77,6
78,38
6,123
60,35
133,7
67,64
68,75
36,90
46,148
65,19
31,120
24,76
15,139
27,42
183,12
139,20
116,66
44,129
169,16
42,29
25,167
141,11
50,100
91,58
33,156
33,63
87,97
